Name,days_served
PETERLE Alojz,3713
PETERSEN Morten Helveg,0
PETIR Marijana,0
PHILIPPOT Florian,0
PICIERNO Pina,0
PICULA Tonino,365
G. PIECHA Bolesław,0
PIEPER Markus,3633
PIETIKÄINEN Sirpa,2279
PIOTROWSKI Mirosław,3633
PIRI Kati,0
PIRINSKI Georgi,0
PITERA Julia,0
PITTELLA Gianni,5460
PLENKOVIĆ Andrej,365
PLURA Marek,0
POC Pavel,1813
POCHE Miroslav,0
POGLIESE Salvatore Domenico,0
POLČÁK Stanislav,0
PONGA Maurice,1813
PORĘBA Tomasz Piotr,1813
POSPÍŠIL Jiří,0
POST Soraya,0
PREDA Cristian Dan,1813
PRETZELL Marcus,0
PREUSS Gabriele,0
PROUST Franck,1104
QUISTHOUDT-ROWOHL Godelieve,9107
RADEV Emil,0
RADOŠ Jozo,0
RANGEL Paulo,1813
RANSDORF Miloslav,3713
REBEGA Laurențiu,0
REDA Julia,0
REDING Viviane,3685
REGNER Evelyn,1813
REHN Olli,679
REID Julia,0
REIMON Michel,0
REINTKE Terry,0
REUL Herbert,3633
REVAULT D'ALLONNES BONNEFOY Christine,83
RIBEIRO Sofia,0
RIES Frédérique,5300
RIQUET Dominique,1813
RIVASI Michèle,1813
ROCHEFORT Robert,1813
RODRIGUES Liliana,0
RODRIGUES Maria João,0
RODRÍGUEZ-PIÑERO FERNÁNDEZ Inmaculada,0
RODRIGUEZ-RUBIO Teresa,0
RODUST Ulrike,2132
ROHDE Jens,1813
ROLIN Claude,0
ROPĖ Bronis,0
ROSATI Dariusz,1819
ROZIÈRE Virginie,0
RUAS Fernando,0
RÜBIG Paul,6732
SAÏFI Tokia,4654
SAKORAFA Sofia,0
SALINI Massimiliano,0
SALVINI Matteo,2653
SÁNCHEZ CALDENTEY Lola,0
SANDER Anne,0
SANT Alfred,0
SÂRBU Daciana Octavia,2738
SARGENTINI Judith,1813
SARVAMAA Petri,852
SARYUSZ-WOLSKI Jacek,3633
SASSOLI David-Maria,1813
SAUDARGAS Algirdas,1813
SCHAAKE Marietje,1813
SCHAFFHAUSER Jean-Luc,0
SCHALDEMOSE Christel,2816
SCHLEIN Elly,0
SCHMIDT Claudia,0
SCHOLZ Helmut,1813
SCHÖPFLIN György,3633
SCHREIJER-PIERIK Annie,0
SCHULZ Martin,7287
SCHULZE Sven,0
SCHUSTER Joachim,0
SCHWAB Andreas,3633
SCOTT CATO Molly,0
SEBASTIÀ Jordi,0
SEHNALOVÁ Olga,1813
SENRA RODRÍGUEZ Lidia,0
SERNAGIOTTO Remo,0
SERRÃO SANTOS Ricardo,0
SEYMOUR Jill,0
SIEKIERSKI Czesław Adam,3713
SILVA PEREIRA Pedro,0
SIMON Peter,1813
SIMON Siôn,0
SIPPEL Birgit,1813
ŠKRIPEK Branislav,0
ŠKRLEC Davor,0
SMITH Alyn,3633
SMOLKOVÁ Monika,1813
SÓGOR Csaba,2395
ŠOJDROVÁ Michaela,0
ŠOLTES Igor,0
SOMMER Renate,5460
SONNEBORN Martin,0
SORU Renato,0
SOSA WAGNER Francisco,1813
SPINELLI Barbara,0
SPYRAKI Maria,0
STAES Bart,5460
STANISHEV Sergei,0
STARBATTY Joachim,0
ŠTEFANEC Ivan,0
